e_all	E_all	time(sec)
0.171444	0.179144	0.100000	0.017291
0.170964	0.178691	0.100000	0.017259
0.170486	0.178240	0.100000	0.017269
0.170009	0.177791	0.100000	0.017306
0.169535	0.177343	0.100000	0.017279
0.169061	0.176896	0.100000	0.017299
0.168590	0.176451	0.100000	0.017427
0.168120	0.176008	0.100000	0.017389
0.167652	0.175566	0.100000	0.017489
0.167185	0.175126	0.100000	0.017461
0.166721	0.174688	0.100000	0.017370
0.166258	0.174251	0.100000	0.017474
0.165798	0.173817	0.100000	0.017352
0.165339	0.173384	0.100000	0.017599
0.164882	0.172953	0.100000	0.017394
0.164428	0.172524	0.100000	0.017540
0.163975	0.172097	0.100000	0.017378
0.163525	0.171672	0.100000	0.017543
0.163077	0.171249	0.100000	0.017485
0.162631	0.170829	0.100000	0.017419
0.162188	0.170410	0.100000	0.017664
0.161746	0.169994	0.100000	0.017317
0.161308	0.169580	0.100000	0.017494
0.160871	0.169168	0.100000	0.017334
0.160437	0.168759	0.100000	0.017598
0.160006	0.168352	0.100000	0.017439
0.159577	0.167948	0.100000	0.017663
0.159151	0.167546	0.100000	0.017560
0.158727	0.167146	0.100000	0.017425
0.158306	0.166749	0.100000	0.017717
0.157888	0.166355	0.100000	0.017452
0.157473	0.165963	0.100000	0.017637
0.157060	0.165574	0.100000	0.017440
0.156650	0.165188	0.100000	0.017703
0.156243	0.164804	0.100000	0.017403
0.155839	0.164424	0.100000	0.017487
0.155438	0.164046	0.100000	0.017500
0.155040	0.163671	0.100000	0.017440
0.154645	0.163298	0.100000	0.017706
0.154252	0.162929	0.100000	0.017459
0.153863	0.162563	0.100000	0.017692
0.153477	0.162199	0.100000	0.017389
0.153094	0.161839	0.100000	0.017578
0.152714	0.161481	0.100000	0.017673
0.152338	0.161127	0.100000	0.017435
0.151964	0.160775	0.100000	0.017673
0.151594	0.160427	0.100000	0.017521
0.151226	0.160082	0.100000	0.017718
0.150862	0.159739	0.100000	0.017441
0.150502	0.159400	0.100000	0.017489
0.150144	0.159064	0.100000	0.017423
0.149790	0.158731	0.100000	0.017339
0.149439	0.158401	0.100000	0.017333
0.149091	0.158074	0.100000	0.017380
0.148746	0.157751	0.100000	0.017304
0.148405	0.157430	0.100000	0.017527
0.148067	0.157113	0.100000	0.017318
0.147732	0.156799	0.100000	0.017405
0.147401	0.156488	0.100000	0.017319
0.147072	0.156180	0.100000	0.017470
0.146747	0.155875	0.100000	0.017349
0.146426	0.155573	0.100000	0.017373
0.146107	0.155275	0.100000	0.017366
0.145792	0.154979	0.100000	0.017414
0.145480	0.154687	0.100000	0.017425
0.145171	0.154398	0.100000	0.017414
0.144865	0.154111	0.100000	0.021193
0.144563	0.153828	0.100000	0.017498
0.144264	0.153548	0.100000	0.017374
0.143968	0.153271	0.100000	0.019990
0.143675	0.152997	0.100000	0.017455
0.143386	0.152726	0.100000	0.017374
0.143099	0.152458	0.100000	0.017430
0.142816	0.152193	0.100000	0.017384
0.142535	0.151931	0.100000	0.017388
0.142258	0.151672	0.100000	0.017408
0.141984	0.151416	0.100000	0.017343
0.141713	0.151163	0.100000	0.017429
0.141445	0.150912	0.100000	0.017377
0.141179	0.150665	0.100000	0.017533
0.140917	0.150420	0.100000	0.017446
0.140658	0.150178	0.100000	0.017584
0.140402	0.149939	0.100000	0.017449
0.140148	0.149703	0.100000	0.017529
0.139898	0.149469	0.100000	0.017402
0.139650	0.149239	0.100000	0.017490
0.139405	0.149010	0.100000	0.017518
0.139163	0.148785	0.100000	0.017451
0.138924	0.148562	0.100000	0.017506
0.138688	0.148342	0.100000	0.017504
0.138454	0.148124	0.100000	0.017409
0.138223	0.147909	0.100000	0.017501
0.137994	0.147696	0.100000	0.017427
0.137769	0.147486	0.100000	0.017539
0.137545	0.147279	0.100000	0.017441
0.137325	0.147073	0.100000	0.017555
0.137107	0.146871	0.100000	0.017420
0.136891	0.146670	0.100000	0.017531
0.136678	0.146472	0.100000	0.017509
0.136467	0.146276	0.100000	0.017478
0.136259	0.146083	0.100000	0.025403
0.136053	0.145892	0.100000	0.017475
0.135850	0.145703	0.100000	0.017485
0.135649	0.145516	0.100000	0.017495
0.135450	0.145332	0.100000	0.017506
0.135253	0.145149	0.100000	0.017487
0.135059	0.144969	0.100000	0.017557
0.134867	0.144791	0.100000	0.017550
0.134677	0.144615	0.100000	0.017552
0.134490	0.144441	0.100000	0.017462
0.134304	0.144269	0.100000	0.017530
0.134121	0.144099	0.100000	0.017657
0.133940	0.143931	0.100000	0.017667
0.133760	0.143765	0.100000	0.017509
0.133583	0.143600	0.100000	0.017638
0.133408	0.143438	0.100000	0.017570
0.133234	0.143277	0.100000	0.017636
0.133063	0.143119	0.100000	0.017550
0.132894	0.142962	0.100000	0.017568
0.132726	0.142807	0.100000	0.017602
0.132560	0.142653	0.100000	0.017562
0.132397	0.142502	0.100000	0.017537
0.132235	0.142352	0.100000	0.017528
0.132074	0.142203	0.100000	0.017569
0.131916	0.142057	0.100000	0.017575
0.131759	0.141911	0.100000	0.017579
0.131604	0.141768	0.100000	0.017505
0.131451	0.141626	0.100000	0.017552
0.131299	0.141486	0.100000	0.017542
0.131149	0.141347	0.100000	0.017611
0.131000	0.141209	0.100000	0.017514
0.130853	0.141073	0.100000	0.017557
0.130708	0.140939	0.100000	0.017562
0.130564	0.140806	0.100000	0.017593
0.130422	0.140674	0.100000	0.017660
0.130281	0.140544	0.100000	0.017570
0.130142	0.140415	0.100000	0.017716
0.130004	0.140288	0.100000	0.017605
0.129867	0.140161	0.100000	0.017695
0.129732	0.140036	0.100000	0.017587
0.129599	0.139913	0.100000	0.017638
0.129466	0.139790	0.100000	0.017638
0.129335	0.139669	0.100000	0.017584
0.129206	0.139549	0.100000	0.017598
0.129077	0.139431	0.100000	0.017592
0.128950	0.139313	0.100000	0.017583
0.128824	0.139197	0.100000	0.017629
0.128700	0.139081	0.100000	0.017564
0.128576	0.138967	0.100000	0.017714
0.128454	0.138854	0.100000	0.017618
0.128333	0.138742	0.100000	0.017687
0.128214	0.138631	0.100000	0.017654
0.128095	0.138522	0.100000	0.017741
0.127978	0.138413	0.100000	0.017573
0.127861	0.138305	0.100000	0.017753
0.127746	0.138199	0.100000	0.017622
0.127632	0.138093	0.100000	0.017938
0.127519	0.137988	0.100000	0.017587
0.127407	0.137884	0.100000	0.025689
0.127296	0.137782	0.100000	0.017669
0.127186	0.137680	0.100000	0.017620
0.127077	0.137579	0.100000	0.017598
0.126969	0.137479	0.100000	0.017656
0.126862	0.137380	0.100000	0.017600
0.126756	0.137281	0.100000	0.017728
0.126651	0.137184	0.100000	0.017679
0.126547	0.137087	0.100000	0.017643
0.126443	0.136992	0.100000	0.017609
0.126341	0.136897	0.100000	0.017718
0.126240	0.136803	0.100000	0.017621
0.126139	0.136710	0.100000	0.017762
0.126040	0.136617	0.100000	0.017658
0.125941	0.136526	0.100000	0.017629
0.125843	0.136435	0.100000	0.017703
0.125746	0.136345	0.100000	0.017653
0.125650	0.136255	0.100000	0.017714
0.125554	0.136167	0.100000	0.017679
0.125459	0.136079	0.100000	0.017722
0.125366	0.135992	0.100000	0.017733
0.125273	0.135905	0.100000	0.017698
0.125180	0.135819	0.100000	0.017756
0.125089	0.135734	0.100000	0.017637
0.124998	0.135650	0.100000	0.017696
0.124908	0.135566	0.100000	0.017617
0.124819	0.135483	0.100000	0.017758
0.124730	0.135401	0.100000	0.017585
0.124642	0.135319	0.100000	0.017773
0.124555	0.135238	0.100000	0.017591
0.124469	0.135157	0.100000	0.017765
0.124383	0.135077	0.100000	0.017732
0.124298	0.134998	0.100000	0.017713
0.124213	0.134919	0.100000	0.017651
0.124130	0.134841	0.100000	0.017756
0.124046	0.134764	0.100000	0.017688
0.123964	0.134687	0.100000	0.017763
0.123882	0.134611	0.100000	0.017698
0.123801	0.134535	0.100000	0.017710
0.123720	0.134460	0.100000	0.017706
0.123640	0.134385	0.100000	0.017776
0.123561	0.134311	0.100000	0.017741
0.123482	0.134237	0.100000	0.017744
0.123404	0.134164	0.100000	0.017709
0.123326	0.134091	0.100000	0.017760
0.123249	0.134019	0.100000	0.017686
0.123173	0.133948	0.100000	0.017728
0.123097	0.133877	0.100000	0.017694
0.123021	0.133806	0.100000	0.017758
0.122946	0.133736	0.100000	0.017723
0.122872	0.133667	0.100000	0.017746
0.122798	0.133598	0.100000	0.017705
0.122725	0.133529	0.100000	0.017736
0.122652	0.133461	0.100000	0.017865
0.122580	0.133393	0.100000	0.017658
0.122508	0.133326	0.100000	0.017753
0.122437	0.133259	0.100000	0.017691
0.122367	0.133193	0.100000	0.017758
0.122296	0.133127	0.100000	0.017817
0.122227	0.133062	0.100000	0.017707
0.122157	0.132997	0.100000	0.017749
0.122089	0.132932	0.100000	0.017768
0.122020	0.132868	0.100000	0.017793
0.121953	0.132804	0.100000	0.017715
0.121885	0.132741	0.100000	0.017677
0.121818	0.132678	0.100000	0.017798
0.121752	0.132616	0.100000	0.017717
0.121686	0.132554	0.100000	0.017759
0.121620	0.132492	0.100000	0.017777
0.121555	0.132431	0.100000	0.017766
0.121490	0.132370	0.100000	0.017701
0.121426	0.132309	0.100000	0.017763
0.121362	0.132249	0.100000	0.017762
