e_all	E_all	time(sec)
0.111803	0.122921	0.100000	0.016291
0.111788	0.122907	0.100000	0.016436
0.111774	0.122892	0.100000	0.016349
0.111760	0.122877	0.100000	0.016724
0.111746	0.122863	0.100000	0.016182
0.111732	0.122848	0.100000	0.016480
0.111718	0.122834	0.100000	0.016565
0.111704	0.122819	0.100000	0.016219
0.111690	0.122805	0.100000	0.016557
0.111676	0.122791	0.100000	0.016278
0.111662	0.122776	0.100000	0.016616
0.111648	0.122762	0.100000	0.016280
0.111634	0.122748	0.100000	0.016583
0.111621	0.122734	0.100000	0.016368
0.111607	0.122720	0.100000	0.016321
0.111593	0.122706	0.100000	0.016428
0.111580	0.122692	0.100000	0.016291
0.111566	0.122678	0.100000	0.016525
0.111553	0.122664	0.100000	0.016372
0.111539	0.122650	0.100000	0.016247
0.111526	0.122637	0.100000	0.016432
0.111513	0.122623	0.100000	0.016284
0.111499	0.122609	0.100000	0.016798
0.111486	0.122596	0.100000	0.016419
0.111473	0.122582	0.100000	0.016319
0.111460	0.122568	0.100000	0.016771
0.111447	0.122555	0.100000	0.016422
0.111434	0.122541	0.100000	0.016505
0.111421	0.122528	0.100000	0.016308
0.111408	0.122515	0.100000	0.016265
0.111395	0.122501	0.100000	0.016645
0.111382	0.122488	0.100000	0.016284
0.111369	0.122475	0.100000	0.016860
0.111357	0.122462	0.100000	0.016370
0.111344	0.122449	0.100000	0.016445
0.111331	0.122435	0.100000	0.016583
0.111319	0.122422	0.100000	0.016212
0.111306	0.122409	0.100000	0.016457
0.111293	0.122396	0.100000	0.016304
0.111281	0.122384	0.100000	0.016405
0.111268	0.122371	0.100000	0.016502
0.111256	0.122358	0.100000	0.016196
0.111244	0.122345	0.100000	0.016332
0.111231	0.122332	0.100000	0.016262
0.111219	0.122320	0.100000	0.016360
0.111207	0.122307	0.100000	0.016136
0.111195	0.122294	0.100000	0.016420
0.111183	0.122282	0.100000	0.016520
0.111170	0.122269	0.100000	0.016293
0.111158	0.122257	0.100000	0.016490
0.111146	0.122244	0.100000	0.016254
0.111134	0.122232	0.100000	0.016486
0.111122	0.122219	0.100000	0.016384
0.111110	0.122207	0.100000	0.016243
0.111099	0.122195	0.100000	0.016678
0.111087	0.122182	0.100000	0.016230
0.111075	0.122170	0.100000	0.016367
0.111063	0.122158	0.100000	0.016256
0.111052	0.122146	0.100000	0.016375
0.111040	0.122134	0.100000	0.016410
0.111028	0.122122	0.100000	0.016439
0.111017	0.122109	0.100000	0.016630
0.111005	0.122097	0.100000	0.016223
0.110994	0.122086	0.100000	0.016455
0.110982	0.122074	0.100000	0.016252
0.110971	0.122062	0.100000	0.016328
0.110959	0.122050	0.100000	0.016637
0.110948	0.122038	0.100000	0.016223
0.110937	0.122026	0.100000	0.016504
0.110925	0.122015	0.100000	0.016299
0.110914	0.122003	0.100000	0.016232
0.110903	0.121991	0.100000	0.016476
0.110892	0.121980	0.100000	0.016351
0.110881	0.121968	0.100000	0.016542
0.110869	0.121956	0.100000	0.016184
0.110858	0.121945	0.100000	0.016632
0.110847	0.121933	0.100000	0.016222
0.110836	0.121922	0.100000	0.016523
0.110825	0.121910	0.100000	0.016419
0.110814	0.121899	0.100000	0.016225
0.110804	0.121888	0.100000	0.016546
0.110793	0.121876	0.100000	0.016301
0.110782	0.121865	0.100000	0.016687
0.110771	0.121854	0.100000	0.016284
0.110760	0.121843	0.100000	0.016428
0.110750	0.121831	0.100000	0.016456
0.110739	0.121820	0.100000	0.016313
0.110728	0.121809	0.100000	0.016502
0.110718	0.121798	0.100000	0.016379
0.110707	0.121787	0.100000	0.016262
0.110697	0.121776	0.100000	0.016571
0.110686	0.121765	0.100000	0.016218
0.110676	0.121754	0.100000	0.016461
0.110665	0.121743	0.100000	0.016313
0.110655	0.121732	0.100000	0.016565
0.110644	0.121722	0.100000	0.016178
0.110634	0.121711	0.100000	0.016311
0.110624	0.121700	0.100000	0.016531
0.110613	0.121689	0.100000	0.016178
0.110603	0.121678	0.100000	0.016597
0.110593	0.121668	0.100000	0.016291
0.110583	0.121657	0.100000	0.016383
0.110573	0.121647	0.100000	0.016640
0.110563	0.121636	0.100000	0.016158
0.110552	0.121625	0.100000	0.016254
0.110542	0.121615	0.100000	0.016302
0.110532	0.121604	0.100000	0.016523
0.110522	0.121594	0.100000	0.016401
0.110512	0.121583	0.100000	0.016374
0.110502	0.121573	0.100000	0.016525
0.110493	0.121563	0.100000	0.016324
0.110483	0.121552	0.100000	0.016681
0.110473	0.121542	0.100000	0.016247
0.110463	0.121532	0.100000	0.016457
0.110453	0.121521	0.100000	0.016501
0.110443	0.121511	0.100000	0.016184
0.110434	0.121501	0.100000	0.016692
0.110424	0.121491	0.100000	0.016301
0.110414	0.121481	0.100000	0.016338
0.110405	0.121471	0.100000	0.016411
0.110395	0.121460	0.100000	0.016392
0.110386	0.121450	0.100000	0.016522
0.110376	0.121440	0.100000	0.016328
0.110366	0.121430	0.100000	0.016457
